frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
0,0.0,2,"neutral, sad",em_pe,2,"careta_exagerada, elemento_grafico"
5,0.16666666666666666,3,"sad, sad, neutral",caminhando,2,"careta_exagerada, elemento_grafico"
10,0.3333333333333333,3,"neutral, neutral, neutral",caminhando,2,"careta_exagerada, elemento_grafico"
15,0.5,3,"neutral, neutral, angry",em_pe,2,"careta_exagerada, elemento_grafico"
20,0.6666666666666666,4,"neutral, neutral, sad, sad",em_pe,2,"careta_exagerada, elemento_grafico"
25,0.8333333333333334,3,"neutral, neutral, fear",caminhando,2,"careta_exagerada, elemento_grafico"
30,1.0,4,"neutral, neutral, angry, fear","caminhando, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
35,1.1666666666666667,4,"neutral, sad, angry, sad","caminhando, usando_celular",1,elemento_grafico
40,1.3333333333333333,4,"neutral, sad, sad, surprise",caminhando,3,"careta_exagerada, careta_exagerada, elemento_grafico"
45,1.5,3,"neutral, sad, surprise","caminhando, usando_celular",4,"careta_exagerada, careta_exagerada, careta_exagerada, elemento_grafico"
50,1.6666666666666667,3,"neutral, sad, surprise","caminhando, usando_celular",4,"careta_exagerada, careta_exagerada, careta_exagerada, elemento_grafico"
55,1.8333333333333333,3,"sad, neutral, angry","caminhando, gesticulando, usando_celular",1,elemento_grafico
60,2.0,3,"neutral, neutral, happy","caminhando, usando_celular",2,"careta_exagerada, elemento_grafico"
65,2.1666666666666665,2,"neutral, neutral",caminhando,2,"careta_exagerada, elemento_grafico"
70,2.3333333333333335,2,"sad, neutral","caminhando, usando_celular",1,elemento_grafico
75,2.5,2,"neutral, sad",caminhando,2,"careta_exagerada, elemento_grafico"
80,2.6666666666666665,3,"neutral, sad, happy","caminhando, usando_celular",4,"careta_exagerada, careta_exagerada, careta_exagerada, elemento_grafico"
85,2.8333333333333335,3,"neutral, sad, sad",caminhando,3,"careta_exagerada, careta_exagerada, elemento_grafico"
90,3.0,3,"neutral, neutral, sad","caminhando, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
95,3.1666666666666665,4,"neutral, sad, happy, happy","caminhando, gesticulando, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
100,3.3333333333333335,3,"sad, neutral, sad","caminhando, gesticulando, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
105,3.5,4,"angry, neutral, sad, sad","caminhando, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
110,3.6666666666666665,3,"neutral, angry, sad","caminhando, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
115,3.8333333333333335,2,"neutral, fear","caminhando, usando_celular",1,elemento_grafico
120,4.0,1,fear,"caminhando, usando_celular",2,"careta_exagerada, elemento_grafico"
125,4.166666666666667,2,"fear, sad","caminhando, usando_celular",1,elemento_grafico
130,4.333333333333333,1,neutral,"sentado, usando_celular",2,"careta_exagerada, elemento_grafico"
135,4.5,0,,"caminhando, usando_celular",1,elemento_grafico
140,4.666666666666667,0,,usando_celular,1,elemento_grafico
145,4.833333333333333,0,,usando_celular,1,elemento_grafico
150,5.0,0,,usando_celular,1,elemento_grafico
155,5.166666666666667,1,neutral,"gesticulando, usando_celular",1,elemento_grafico
160,5.333333333333333,1,sad,"dancando, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
165,5.5,1,neutral,"em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
170,5.666666666666667,0,,"em_pe, usando_celular",1,elemento_grafico
175,5.833333333333333,0,,"em_pe, gesticulando, usando_celular",1,elemento_grafico
180,6.0,1,happy,correndo,1,movimento_brusco
185,6.166666666666667,1,happy,"correndo, dancando, gesticulando",0,
190,6.333333333333333,1,neutral,"correndo, dancando, gesticulando",1,elemento_grafico
195,6.5,1,happy,"correndo, dancando, usando_celular",1,elemento_grafico
200,6.666666666666667,1,happy,"caminhando, dancando",1,elemento_grafico
205,6.833333333333333,1,happy,"caminhando, dancando, usando_celular",2,"careta_exagerada, elemento_grafico"
210,7.0,1,happy,"caminhando, dancando, usando_celular",2,"careta_exagerada, elemento_grafico"
215,7.166666666666667,1,happy,"caminhando, dancando",1,elemento_grafico
220,7.333333333333333,1,happy,"correndo, dancando",1,elemento_grafico
225,7.5,1,happy,"caminhando, dancando",2,"careta_exagerada, elemento_grafico"
230,7.666666666666667,1,happy,"caminhando, dancando",2,"careta_exagerada, elemento_grafico"
235,7.833333333333333,1,neutral,"caminhando, dancando",1,elemento_grafico
240,8.0,1,happy,"caminhando, dancando",1,careta_exagerada
245,8.166666666666666,1,happy,"caminhando, dancando",1,careta_exagerada
