frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
0,0.0,2,"neutral, sad",em_pe,0,
5,0.16666666666666666,3,"sad, sad, neutral",caminhando,1,careta_exagerada
10,0.3333333333333333,3,"neutral, neutral, neutral",caminhando,0,
15,0.5,3,"neutral, neutral, angry",em_pe,0,
20,0.6666666666666666,4,"neutral, neutral, sad, sad",em_pe,0,
25,0.8333333333333334,3,"neutral, neutral, fear",caminhando,0,
30,1.0,4,"neutral, neutral, angry, fear","caminhando, usando_celular",0,
35,1.1666666666666667,4,"neutral, sad, angry, sad","caminhando, usando_celular",0,
40,1.3333333333333333,4,"neutral, sad, sad, surprise",caminhando,1,careta_exagerada
45,1.5,3,"neutral, sad, surprise","caminhando, usando_celular",0,
50,1.6666666666666667,3,"neutral, sad, surprise","caminhando, usando_celular",0,
55,1.8333333333333333,3,"sad, neutral, angry","caminhando, usando_celular",0,
60,2.0,3,"neutral, neutral, happy","caminhando, gesticulando, usando_celular",0,
65,2.1666666666666665,2,"neutral, neutral",caminhando,0,
70,2.3333333333333335,2,"sad, neutral","caminhando, usando_celular",0,
75,2.5,2,"neutral, sad",caminhando,1,careta_exagerada
80,2.6666666666666665,3,"neutral, sad, happy","caminhando, gesticulando, usando_celular",0,
85,2.8333333333333335,3,"neutral, sad, sad",caminhando,0,
90,3.0,3,"neutral, neutral, sad","caminhando, usando_celular",0,
95,3.1666666666666665,4,"neutral, sad, happy, happy","caminhando, usando_celular",0,
100,3.3333333333333335,3,"sad, neutral, sad","caminhando, usando_celular",0,
105,3.5,4,"angry, neutral, sad, sad","caminhando, usando_celular",1,careta_exagerada
110,3.6666666666666665,3,"neutral, angry, sad","caminhando, usando_celular",0,
115,3.8333333333333335,2,"neutral, fear","caminhando, usando_celular",0,
120,4.0,1,fear,"caminhando, gesticulando, usando_celular",0,
125,4.166666666666667,2,"fear, sad","caminhando, gesticulando, usando_celular",0,
130,4.333333333333333,1,neutral,"sentado, usando_celular",0,
135,4.5,0,,"caminhando, usando_celular",0,
140,4.666666666666667,0,,"gesticulando, usando_celular",0,
145,4.833333333333333,0,,usando_celular,0,
150,5.0,0,,usando_celular,0,
155,5.166666666666667,1,neutral,usando_celular,0,
160,5.333333333333333,1,sad,"dancando, usando_celular",0,
165,5.5,1,neutral,"em_pe, usando_celular",0,
170,5.666666666666667,0,,"em_pe, gesticulando, usando_celular",0,
175,5.833333333333333,0,,"em_pe, usando_celular",0,
180,6.0,1,happy,"correndo, gesticulando",0,
185,6.166666666666667,1,happy,"correndo, dancando",0,
190,6.333333333333333,1,neutral,"correndo, dancando, gesticulando",0,
195,6.5,1,happy,"correndo, dancando, usando_celular",0,
200,6.666666666666667,1,happy,"caminhando, dancando",0,
205,6.833333333333333,1,happy,"caminhando, dancando, usando_celular",1,careta_exagerada
210,7.0,1,happy,"caminhando, dancando, usando_celular",0,
215,7.166666666666667,1,happy,"caminhando, dancando",0,
220,7.333333333333333,1,happy,"correndo, dancando",0,
225,7.5,1,happy,"caminhando, dancando, gesticulando",0,
230,7.666666666666667,1,happy,"caminhando, dancando",0,
235,7.833333333333333,1,neutral,"caminhando, dancando",0,
240,8.0,1,happy,"caminhando, dancando",1,careta_exagerada
245,8.166666666666666,1,happy,"caminhando, dancando",0,
250,8.333333333333334,1,neutral,"caminhando, gesticulando",0,
255,8.5,1,neutral,"caminhando, dancando, gesticulando",0,
260,8.666666666666666,1,neutral,"caminhando, dancando",0,
265,8.833333333333334,1,neutral,"caminhando, dancando",0,
270,9.0,1,happy,"caminhando, dancando",1,careta_exagerada
275,9.166666666666666,1,happy,"caminhando, dancando",0,
280,9.333333333333334,1,happy,"caminhando, dancando",0,
285,9.5,1,happy,"em_pe, dancando",0,
290,9.666666666666666,1,happy,"caminhando, dancando, gesticulando",0,
295,9.833333333333334,1,happy,"caminhando, dancando, gesticulando",0,
300,10.0,1,happy,caminhando,0,
305,10.166666666666666,1,happy,caminhando,1,careta_exagerada
310,10.333333333333334,1,happy,"caminhando, gesticulando",0,
315,10.5,1,happy,caminhando,0,
320,10.666666666666666,1,neutral,caminhando,0,
