frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
0,0.0,2,"neutral, sad",em_pe,0,
2,0.06666666666666667,2,"happy, sad",em_pe,1,careta_exagerada
4,0.13333333333333333,3,"neutral, sad, sad",em_pe,2,"careta_exagerada, careta_exagerada"
6,0.2,4,"neutral, sad, neutral, fear",em_pe,1,careta_exagerada
8,0.26666666666666666,4,"neutral, neutral, angry, sad",em_pe,0,
10,0.3333333333333333,3,"neutral, neutral, neutral",em_pe,1,careta_exagerada
12,0.4,3,"sad, sad, neutral",em_pe,2,"careta_exagerada, careta_exagerada"
14,0.4666666666666667,3,"neutral, sad, neutral",em_pe,1,careta_exagerada
16,0.5333333333333333,4,"neutral, angry, neutral, sad",em_pe,1,elemento_grafico
18,0.6,4,"neutral, sad, neutral, sad",em_pe,0,
20,0.6666666666666666,4,"neutral, neutral, sad, sad",em_pe,0,
22,0.7333333333333333,4,"neutral, neutral, neutral, sad",em_pe,0,
24,0.8,3,"neutral, neutral, fear",em_pe,1,careta_exagerada
26,0.8666666666666667,3,"neutral, neutral, angry",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
28,0.9333333333333333,3,"neutral, sad, angry","em_pe, gesticulando",0,
30,1.0,4,"neutral, neutral, angry, fear","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
32,1.0666666666666667,4,"neutral, neutral, angry, sad","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, careta_exagerada"
34,1.1333333333333333,4,"neutral, sad, sad, angry","em_pe, gesticulando, usando_celular",0,
36,1.2,4,"neutral, sad, sad, surprise","em_pe, usando_celular",0,
38,1.2666666666666666,4,"neutral, neutral, surprise, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
40,1.3333333333333333,4,"neutral, sad, sad, surprise","em_pe, gesticulando",1,careta_exagerada
42,1.4,3,"neutral, sad, surprise","em_pe, usando_celular",2,"careta_exagerada, careta_exagerada"
44,1.4666666666666666,4,"neutral, sad, surprise, sad",em_pe,2,"careta_exagerada, careta_exagerada"
46,1.5333333333333334,3,"sad, sad, surprise","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
48,1.6,2,"sad, neutral","em_pe, usando_celular",0,
50,1.6666666666666667,3,"neutral, sad, surprise","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
52,1.7333333333333334,3,"neutral, sad, angry","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
54,1.8,3,"sad, neutral, angry","caminhando, usando_celular",1,elemento_grafico
56,1.8666666666666667,3,"neutral, neutral, angry","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
58,1.9333333333333333,3,"neutral, sad, angry","caminhando, usando_celular",0,
60,2.0,3,"neutral, neutral, happy","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
62,2.066666666666667,4,"neutral, neutral, angry, sad","em_pe, gesticulando, usando_celular",1,careta_exagerada
64,2.1333333333333333,4,"neutral, neutral, sad, angry","em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
66,2.2,3,"neutral, neutral, sad","em_pe, usando_celular",1,careta_exagerada
68,2.2666666666666666,3,"neutral, sad, happy","em_pe, gesticulando, usando_celular",1,elemento_grafico
70,2.3333333333333335,2,"sad, neutral","em_pe, gesticulando, usando_celular",0,
72,2.4,2,"neutral, sad",em_pe,2,"careta_exagerada, elemento_grafico"
74,2.466666666666667,2,"neutral, sad","em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
76,2.533333333333333,2,"neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
78,2.6,2,"neutral, sad","em_pe, gesticulando, usando_celular",1,careta_exagerada
80,2.6666666666666665,3,"neutral, sad, happy","em_pe, usando_celular",2,"careta_exagerada, careta_exagerada"
82,2.7333333333333334,2,"neutral, sad","em_pe, usando_celular",0,
84,2.8,3,"neutral, sad, sad",em_pe,2,"careta_exagerada, elemento_grafico"
86,2.8666666666666667,2,"neutral, sad",em_pe,3,"careta_exagerada, careta_exagerada, elemento_grafico"
88,2.933333333333333,3,"neutral, happy, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
90,3.0,3,"neutral, neutral, sad","em_pe, gesticulando, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
92,3.066666666666667,2,"neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
94,3.1333333333333333,4,"neutral, sad, sad, happy","em_pe, usando_celular",3,"careta_exagerada, careta_exagerada, elemento_grafico"
96,3.2,3,"neutral, sad, happy","em_pe, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
98,3.2666666666666666,4,"sad, sad, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
100,3.3333333333333335,3,"sad, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
102,3.4,3,"neutral, neutral, sad","em_pe, usando_celular",1,elemento_grafico
104,3.466666666666667,3,"angry, neutral, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
106,3.533333333333333,4,"angry, neutral, sad, sad",caminhando,1,elemento_grafico
108,3.6,4,"sad, neutral, angry, happy","caminhando, usando_celular",2,"careta_exagerada, elemento_grafico"
110,3.6666666666666665,3,"neutral, angry, sad","em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
112,3.7333333333333334,3,"sad, angry, neutral","sentado, gesticulando, usando_celular",2,"careta_exagerada, elemento_grafico"
114,3.8,2,"neutral, fear",usando_celular,1,elemento_grafico
116,3.8666666666666667,3,"sad, neutral, neutral","em_pe, gesticulando, usando_celular",1,elemento_grafico
118,3.933333333333333,2,"fear, sad","caminhando, gesticulando, usando_celular",1,elemento_grafico
120,4.0,1,fear,"caminhando, usando_celular",1,elemento_grafico
122,4.066666666666666,2,"sad, sad","em_pe, usando_celular",1,elemento_grafico
124,4.133333333333334,2,"neutral, sad","caminhando, gesticulando, usando_celular",1,elemento_grafico
126,4.2,2,"neutral, fear","caminhando, usando_celular",1,elemento_grafico
128,4.266666666666667,1,neutral,"em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
130,4.333333333333333,1,neutral,"caminhando, usando_celular",2,"careta_exagerada, elemento_grafico"
132,4.4,0,,"caminhando, usando_celular",1,elemento_grafico
134,4.466666666666667,0,,"em_pe, usando_celular",1,elemento_grafico
136,4.533333333333333,0,,"em_pe, gesticulando, usando_celular",1,elemento_grafico
138,4.6,0,,usando_celular,1,elemento_grafico
140,4.666666666666667,0,,"sentado, gesticulando, usando_celular",1,elemento_grafico
142,4.733333333333333,1,sad,usando_celular,1,elemento_grafico
144,4.8,0,,usando_celular,1,elemento_grafico
146,4.866666666666666,0,,usando_celular,1,elemento_grafico
148,4.933333333333334,0,,usando_celular,1,elemento_grafico
150,5.0,0,,usando_celular,1,elemento_grafico
152,5.066666666666666,0,,usando_celular,1,elemento_grafico
154,5.133333333333334,0,,usando_celular,1,elemento_grafico
156,5.2,1,neutral,usando_celular,1,elemento_grafico
158,5.266666666666667,1,neutral,usando_celular,1,elemento_grafico
160,5.333333333333333,1,sad,usando_celular,1,elemento_grafico
162,5.4,1,neutral,usando_celular,1,elemento_grafico
164,5.466666666666667,1,neutral,usando_celular,1,elemento_grafico
166,5.533333333333333,1,neutral,usando_celular,2,"careta_exagerada, elemento_grafico"
168,5.6,1,neutral,usando_celular,1,elemento_grafico
170,5.666666666666667,0,,"sentado, usando_celular",1,elemento_grafico
172,5.733333333333333,0,,usando_celular,1,elemento_grafico
174,5.8,0,,usando_celular,1,elemento_grafico
176,5.866666666666666,0,,usando_celular,1,elemento_grafico
178,5.933333333333334,0,,usando_celular,1,elemento_grafico
180,6.0,1,happy,correndo,1,movimento_brusco
182,6.066666666666666,1,happy,caminhando,0,
184,6.133333333333334,1,happy,,0,
186,6.2,1,neutral,caminhando,0,
188,6.266666666666667,1,neutral,dancando,0,
190,6.333333333333333,1,neutral,"caminhando, dancando, gesticulando",0,
192,6.4,1,neutral,"caminhando, dancando, gesticulando",0,
194,6.466666666666667,1,happy,"caminhando, dancando",0,
196,6.533333333333333,1,happy,"caminhando, dancando, usando_celular",0,
198,6.6,1,happy,"caminhando, dancando",0,
200,6.666666666666667,1,happy,"caminhando, dancando",0,
202,6.733333333333333,1,happy,"caminhando, dancando, gesticulando",1,careta_exagerada
204,6.8,1,happy,"em_pe, usando_celular",1,careta_exagerada
206,6.866666666666666,1,happy,"caminhando, dancando",0,
208,6.933333333333334,1,happy,caminhando,1,careta_exagerada
210,7.0,1,happy,"caminhando, usando_celular",0,
212,7.066666666666666,1,happy,"caminhando, usando_celular",0,
214,7.133333333333334,1,happy,caminhando,0,
216,7.2,1,neutral,caminhando,0,
218,7.266666666666667,1,neutral,"caminhando, gesticulando",0,
220,7.333333333333333,1,happy,"caminhando, gesticulando",0,
222,7.4,1,happy,"caminhando, dancando, gesticulando",0,
224,7.466666666666667,1,happy,"em_pe, gesticulando",1,careta_exagerada
226,7.533333333333333,1,happy,"em_pe, dancando, gesticulando",1,careta_exagerada
228,7.6,1,happy,"em_pe, gesticulando",1,careta_exagerada
230,7.666666666666667,1,happy,caminhando,1,careta_exagerada
232,7.733333333333333,1,happy,caminhando,0,
234,7.8,1,happy,em_pe,1,careta_exagerada
236,7.866666666666666,1,happy,"caminhando, gesticulando",0,
238,7.933333333333334,1,happy,caminhando,1,careta_exagerada
240,8.0,1,happy,caminhando,1,careta_exagerada
242,8.066666666666666,1,happy,em_pe,1,careta_exagerada
244,8.133333333333333,1,happy,caminhando,1,careta_exagerada
246,8.2,1,happy,em_pe,1,careta_exagerada
248,8.266666666666667,1,neutral,caminhando,0,
250,8.333333333333334,1,neutral,caminhando,0,
252,8.4,1,neutral,caminhando,0,
254,8.466666666666667,1,neutral,em_pe,0,
256,8.533333333333333,1,neutral,"em_pe, gesticulando",0,
258,8.6,1,neutral,em_pe,0,
260,8.666666666666666,1,neutral,"em_pe, gesticulando",0,
262,8.733333333333333,1,neutral,em_pe,1,careta_exagerada
264,8.8,1,neutral,em_pe,0,
266,8.866666666666667,1,happy,em_pe,0,
268,8.933333333333334,1,happy,em_pe,1,careta_exagerada
270,9.0,1,happy,"em_pe, gesticulando",1,careta_exagerada
272,9.066666666666666,1,happy,em_pe,0,
274,9.133333333333333,1,happy,em_pe,1,careta_exagerada
276,9.2,1,happy,"em_pe, gesticulando",1,careta_exagerada
278,9.266666666666667,1,happy,"em_pe, gesticulando",1,careta_exagerada
280,9.333333333333334,1,happy,"em_pe, gesticulando",1,careta_exagerada
282,9.4,1,happy,em_pe,1,careta_exagerada
284,9.466666666666667,1,happy,em_pe,1,careta_exagerada
286,9.533333333333333,1,happy,em_pe,1,careta_exagerada
288,9.6,1,happy,em_pe,1,careta_exagerada
